TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2023-04-06T19:55:15.911193', 'End': '2023-11-22T19:55:15.911195'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 13.33, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-05T19:55:15.911200', 'End': '2023-11-22T19:55:15.911202'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 79.22, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-04T19:55:15.911208', 'End': '2023-11-22T19:55:15.911210'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 99.98, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-03T19:55:15.911216', 'End': '2023-11-22T19:55:15.911218'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 38.99, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-02T19:55:15.911222', 'End': '2023-11-22T19:55:15.911224'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 29.34, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-01T19:55:15.911230', 'End': '2023-11-22T19:55:15.911233'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 65.5, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-03-31T19:55:15.911237', 'End': '2023-11-22T19:55:15.911239'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 57.25, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-30T19:55:15.911245', 'End': '2023-11-22T19:55:15.911247'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 24.08, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-29T19:55:15.911252', 'End': '2023-11-22T19:55:15.911254'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 17.82, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-28T19:55:15.911259', 'End': '2023-11-22T19:55:15.911261'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 92.57, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-27T19:55:15.911265', 'End': '2023-11-22T19:55:15.911267'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 88.35, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-26T19:55:15.911272', 'End': '2023-11-22T19:55:15.911274'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 83.73, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-25T19:55:15.911278', 'End': '2023-11-22T19:55:15.911280'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 96.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-24T19:55:15.911285', 'End': '2023-11-22T19:55:15.911289'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 46.03, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-03-23T19:55:15.911294', 'End': '2023-11-22T19:55:15.911295'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 93.74, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-22T19:55:15.911300', 'End': '2023-11-22T19:55:15.911302'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 28.81, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-21T19:55:15.911306', 'End': '2023-11-22T19:55:15.911308'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 20.82, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-20T19:55:15.911313', 'End': '2023-11-22T19:55:15.911315'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 80.54, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-19T19:55:15.911323', 'End': '2023-11-22T19:55:15.911325'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 40.17, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-18T19:55:15.911330', 'End': '2023-11-22T19:55:15.911332'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 51.8, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-17T19:55:15.911336', 'End': '2023-11-22T19:55:15.911338'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 59.66, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-16T19:55:15.911343', 'End': '2023-11-22T19:55:15.911345'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 67.18, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-15T19:55:15.911350', 'End': '2023-11-22T19:55:15.911352'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 84.58, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-14T19:55:15.911356', 'End': '2023-11-22T19:55:15.911358'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 20.83, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-13T19:55:15.911363', 'End': '2023-11-22T19:55:15.911367'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 87.74, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-03-12T19:55:15.911371', 'End': '2023-11-22T19:55:15.911373'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 34.71, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-11T19:55:15.911378', 'End': '2023-11-22T19:55:15.911380'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 41.62, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-10T19:55:15.911384', 'End': '2023-11-22T19:55:15.911386'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 12.51, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-09T19:55:15.911391', 'End': '2023-11-22T19:55:15.911395'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 35.57, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-03-08T19:55:15.911400', 'End': '2023-11-22T19:55:15.911402'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 41.22, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-03-07T19:55:15.911406', 'End': '2023-11-22T19:55:15.911408'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 65.81, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-06T19:55:15.911415', 'End': '2023-11-22T19:55:15.911417'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 95.04, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-05T19:55:15.911421', 'End': '2023-11-22T19:55:15.911423'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 97.25, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-04T19:55:15.911428', 'End': '2023-11-22T19:55:15.911430'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 67.39, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-03T19:55:15.911436', 'End': '2023-11-22T19:55:15.911438'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 56.48, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-03-02T19:55:15.911443', 'End': '2023-11-22T19:55:15.911445'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 11.69, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-03-01T19:55:15.911450', 'End': '2023-11-22T19:55:15.911453'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 82.33, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-28T19:55:15.911458', 'End': '2023-11-22T19:55:15.911460'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 96.53, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-27T19:55:15.911464', 'End': '2023-11-22T19:55:15.911466'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 31.36, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-26T19:55:15.911471', 'End': '2023-11-22T19:55:15.911473'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 11.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-25T19:55:15.911478', 'End': '2023-11-22T19:55:15.911480'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 21.52, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-24T19:55:15.911484', 'End': '2023-11-22T19:55:15.911486'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 46.13, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-23T19:55:15.911491', 'End': '2023-11-22T19:55:15.911493'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 16.81, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-22T19:55:15.911497', 'End': '2023-11-22T19:55:15.911502'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 22.25, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-21T19:55:15.911507', 'End': '2023-11-22T19:55:15.911509'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 56.96, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-20T19:55:15.911516', 'End': '2023-11-22T19:55:15.911518'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 44.8, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-19T19:55:15.911523', 'End': '2023-11-22T19:55:15.911524'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 27.8, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-18T19:55:15.911529', 'End': '2023-11-22T19:55:15.911531'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 97.67, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-17T19:55:15.911537', 'End': '2023-11-22T19:55:15.911539'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 47.16, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-16T19:55:15.911544', 'End': '2023-11-22T19:55:15.911548'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 20.9, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-15T19:55:15.911553', 'End': '2023-11-22T19:55:15.911555'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 18.9, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-14T19:55:15.911559', 'End': '2023-11-22T19:55:15.911561'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 87.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-13T19:55:15.911566', 'End': '2023-11-22T19:55:15.911568'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 23.49, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-12T19:55:15.911573', 'End': '2023-11-22T19:55:15.911574'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 37.21, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-11T19:55:15.911579', 'End': '2023-11-22T19:55:15.911581'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 10.71, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-10T19:55:15.911586', 'End': '2023-11-22T19:55:15.911587'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 50.01, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-09T19:55:15.911592', 'End': '2023-11-22T19:55:15.911594'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 87.2, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-08T19:55:15.911599', 'End': '2023-11-22T19:55:15.911601'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 48.61, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-07T19:55:15.911607', 'End': '2023-11-22T19:55:15.911609'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 84.68, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-06T19:55:15.911614', 'End': '2023-11-22T19:55:15.911617'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 53.59, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-02-05T19:55:15.911622', 'End': '2023-11-22T19:55:15.911624'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 27.07, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-02-04T19:55:15.911629', 'End': '2023-11-22T19:55:15.911631'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 66.94, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-03T19:55:15.911636', 'End': '2023-11-22T19:55:15.911638'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 47.85, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-02T19:55:15.911642', 'End': '2023-11-22T19:55:15.911644'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 87.05, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-02-01T19:55:15.911649', 'End': '2023-11-22T19:55:15.911651'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 63.35, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-31T19:55:15.911655', 'End': '2023-11-22T19:55:15.911657'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 80.86, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-30T19:55:15.911662', 'End': '2023-11-22T19:55:15.911664'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 14.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-29T19:55:15.911669', 'End': '2023-11-22T19:55:15.911670'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 77.64, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-28T19:55:15.911675', 'End': '2023-11-22T19:55:15.911677'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 62.33, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-27T19:55:15.911684', 'End': '2023-11-22T19:55:15.911686'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 40.34, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-26T19:55:15.911692', 'End': '2023-11-22T19:55:15.911697'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 57.34, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-25T19:55:15.911704', 'End': '2023-11-22T19:55:15.911706'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 35.95, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-24T19:55:15.911710', 'End': '2023-11-22T19:55:15.911712'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 25.39, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-23T19:55:15.911717', 'End': '2023-11-22T19:55:15.911719'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 12.11, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-22T19:55:15.911724', 'End': '2023-11-22T19:55:15.911725'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 42.81, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-21T19:55:15.911730', 'End': '2023-11-22T19:55:15.911732'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 12.15, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-20T19:55:15.911737', 'End': '2023-11-22T19:55:15.911738'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 67.56, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-19T19:55:15.911743', 'End': '2023-11-22T19:55:15.911745'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 18.12, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-18T19:55:15.911749', 'End': '2023-11-22T19:55:15.911751'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 56.25, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-17T19:55:15.911756', 'End': '2023-11-22T19:55:15.911758'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 23.0, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-16T19:55:15.911763', 'End': '2023-11-22T19:55:15.911765'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 10.7, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-15T19:55:15.911769', 'End': '2023-11-22T19:55:15.911771'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 85.46, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-14T19:55:15.911776', 'End': '2023-11-22T19:55:15.911780'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 96.03, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-13T19:55:15.911785', 'End': '2023-11-22T19:55:15.911787'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 62.86, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-12T19:55:15.911793', 'End': '2023-11-22T19:55:15.911795'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 21.78, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-11T19:55:15.911800', 'End': '2023-11-22T19:55:15.911802'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 88.35, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-10T19:55:15.911806', 'End': '2023-11-22T19:55:15.911808'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 26.26, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-09T19:55:15.911813', 'End': '2023-11-22T19:55:15.911815'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 87.82, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-01-08T19:55:15.911819', 'End': '2023-11-22T19:55:15.911821'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 50.56, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-07T19:55:15.911826', 'End': '2023-11-22T19:55:15.911828'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 13.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-06T19:55:15.911832', 'End': '2023-11-22T19:55:15.911834'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 48.13, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-05T19:55:15.911839', 'End': '2023-11-22T19:55:15.911841'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 49.01, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-04T19:55:15.911848', 'End': '2023-11-22T19:55:15.911850'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 15.7, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-03T19:55:15.911854', 'End': '2023-11-22T19:55:15.911856'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 91.23, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-01-02T19:55:15.911862', 'End': '2023-11-22T19:55:15.911864'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 96.67, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-01-01T19:55:15.911871', 'End': '2023-11-22T19:55:15.911873'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 53.48, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-31T19:55:15.911878', 'End': '2023-11-22T19:55:15.911880'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 80.55, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-12-30T19:55:15.911884', 'End': '2023-11-22T19:55:15.911886'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 57.83, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-29T19:55:15.911893', 'End': '2023-11-22T19:55:15.911895'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 58.06, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-28T19:55:15.911900', 'End': '2023-11-22T19:55:15.911901'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 90.82, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-27T19:55:15.911906', 'End': '2023-11-22T19:55:15.911908'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 85.12, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-26T19:55:15.911913', 'End': '2023-11-22T19:55:15.911915'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 78.87, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-25T19:55:15.911919', 'End': '2023-11-22T19:55:15.911921'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 27.23, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-24T19:55:15.911926', 'End': '2023-11-22T19:55:15.911927'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 57.85, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-23T19:55:15.911933', 'End': '2023-11-22T19:55:15.911934'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 68.5, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-22T19:55:15.911939', 'End': '2023-11-22T19:55:15.911943'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 97.88, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-12-21T19:55:15.911950', 'End': '2023-11-22T19:55:15.911952'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 35.64, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-20T19:55:15.911957', 'End': '2023-11-22T19:55:15.911958'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 49.19, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-19T19:55:15.911963', 'End': '2023-11-22T19:55:15.911965'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 63.76, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-18T19:55:15.911970', 'End': '2023-11-22T19:55:15.911971'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 89.85, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-17T19:55:15.911976', 'End': '2023-11-22T19:55:15.911978'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 33.65, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-16T19:55:15.911990', 'End': '2023-11-22T19:55:15.911992'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 10.56, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-15T19:55:15.911997', 'End': '2023-11-22T19:55:15.911999'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 90.85, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-12-14T19:55:15.912003', 'End': '2023-11-22T19:55:15.912007'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 69.69, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-13T19:55:15.912012', 'End': '2023-11-22T19:55:15.912014'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 97.21, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
